Profession,Specialization (Branch),Rank,Skill ID,Skill Name,Description,Point Cost,Prereq Skill ID(s),Passive Effects,Recipes Granted,Signature Item (Wield → +25% XP for Combat/Hunting; flavor only elsewhere),Icon
Gathering,Permafrost,3,gathering.permafrost.3,Ice Whisperer,+25% permafrost ore + tundra herb yield.,4,gathering.permafrost.2,"permafrostYieldBonus +0.25, harvestRareBonus +0.10",craft_ice_pickaxe,Ice Pickaxe,/icons/perks/maker/21.png
Gathering,Permafrost,4,gathering.permafrost.4,Aurora Forager,"+30% all tundra resources, unlocks aurora_crystal harvest.",8,gathering.permafrost.3,"permafrostYieldBonus +0.30, auroraCrystalUnlocked true",craft_aurora_lantern,Ice Pickaxe / Glacial Drill,/icons/perks/maker/22.png
Gathering,Rift Crystals,1,gathering.crystals.1,Resonance,crystal_x veins audibly hum within 30m.,1,—,crystalDetectRange +30,—,Crystal Resonator,/icons/perks/maker/23.png
Gathering,Rift Crystals,2,gathering.crystals.2,Refraction,+15% crystal yield.,2,gathering.crystals.1,crystalYieldBonus +0.15,craft_resonator_basic,Crystal Resonator,/icons/perks/maker/24.png
Gathering,Rift Crystals,3,gathering.crystals.3,Shard Binder,Unlocks rift_shard harvest from rift anomalies.,4,gathering.crystals.2,"riftShardUnlocked true, crystalYieldBonus +0.10",craft_shard_focus,Crystal Resonator,/icons/perks/maker/25.png
Gathering,Rift Crystals,4,gathering.crystals.4,Riftcaller,"+50% crystal yield, anomalies grant +1 rift_shard each.",8,gathering.crystals.3,"crystalYieldBonus +0.50, anomalyShardBonus +1",craft_resonator_attuned,Crystal Resonator / Attuned Resonator,/icons/perks/maker/26.png
Gathering,Salvage,1,gathering.salvage.1,Scrap Magnet,+20% scrap from ruined chests and wrecks.,1,—,salvageYieldBonus +0.20,—,Scrap Cutter,/icons/perks/maker/27.png
Gathering,Salvage,2,gathering.salvage.2,Field Stripper,Derelict tech grants 2× component drops.,2,gathering.salvage.1,derelictDoubleDropChance +1.00,craft_multitool,Scrap Cutter / Multitool,/icons/perks/maker/28.png
Gathering,Salvage,3,gathering.salvage.3,Junker,Unlocks weapon → component recycling at workbench.,4,gathering.salvage.2,recyclingUnlocked true,"craft_recycle_blade, craft_recycle_gun",Scrap Cutter / Multitool,/icons/perks/maker/29.png
Gathering,Salvage,4,gathering.salvage.4,Wreck Diver,"+50% rare salvage, sunken wrecks become harvestable.",8,gathering.salvage.3,"salvageYieldBonus +0.50, sunkenWreckUnlocked true",craft_dive_rebreather,Scrap Cutter / Rebreather,/icons/perks/maker/30.png
Gathering,—,M,gathering.master,Land's Bounty,"PROFESSION MASTER — +25% all yield, +25% rare drops, +15% speed, all branch unlocks active. Requires Forestry 4 + Mining 4 + Permafrost 4 + Crystals 4 + Salvage 4.",20,gathering.forestry.4 + gathering.mining.4 + gathering.permafrost.4 + gathering.crystals.4 + gathering.salvage.4,"harvestYieldBonus +0.25, harvestRareBonus +0.25, harvestSpeedBonus +0.15","craft_resonator_master, craft_dredge_rig",Land-Steward's Crook,/icons/perks/maker/31.png
Hunting,Fishing,1,hunting.fishing.1,Patient Line,+10% fish per pond.,1,—,fishingYieldBonus +0.10,craft_fishing_rod,Fishing Rod,/icons/perks/hero/1.png
Hunting,Fishing,2,hunting.fishing.2,Tide Reader,+15% rare catches in any pond.,2,hunting.fishing.1,harvestRareBonus +0.15,craft_bait_worm,Fishing Rod,/icons/perks/hero/2.png
Hunting,Fishing,3,hunting.fishing.3,Net Weaver,+20% fish (stacks).,4,hunting.fishing.2,fishingYieldBonus +0.20,craft_fishing_net,Fishing Rod,/icons/perks/hero/3.png
Hunting,Fishing,4,hunting.fishing.4,Leviathan Lure,"+30% first cast yield, unlocks leviathan-class catches.",8,hunting.fishing.3,"fishingYieldBonus +0.30, leviathanUnlocked true","craft_harpoon, craft_deepsea_net, craft_leviathan_bait",Fishing Rod / Harpoon,/icons/perks/hero/4.png
Hunting,Animals,1,hunting.animals.1,Marksman's Eye,+10% Hunting XP per animal kill.,1,—,bountyXpBonus +0.10,craft_skinning_knife,Bow / Skinning Knife,/icons/perks/hero/5.png
Hunting,Animals,2,hunting.animals.2,Stalker,+5% damage to elite beasts.,2,hunting.animals.1,gunsmithDamageBonus +0.05,craft_snare_trap,Bow / Skinning Knife,/icons/perks/hero/6.png
Hunting,Animals,3,hunting.animals.3,Trophy Carver,+15% leather/skin from animal kills.,4,hunting.animals.2,skinningYieldBonus +0.15,"craft_bear_trap, craft_taxidermy_kit",Bow / Skinning Knife,/icons/perks/hero/7.png
Hunting,Animals,4,hunting.animals.4,Big Game Hunter,"+25% Hunting XP from boss beasts, +10% damage to all wildlife.",8,hunting.animals.3,"bountyXpBonus +0.25, gunsmithDamageBonus +0.10","craft_tracking_arrow, craft_trophy_mount",Bow / Sniper Rifle,/icons/perks/hero/8.png
Hunting,Bounty (Missions),1,hunting.bounty.1,Bounty Board Initiate,+1 active bounty contract slot. Unlocks animal contracts.,1,—,bountyContractSlots +1,craft_bounty_poster,Wanted Poster / Manacles,/icons/perks/hero/9.png
Hunting,Bounty (Missions),2,hunting.bounty.2,Tracker's Token,+25% bounty mission gold reward.,2,hunting.bounty.1,bountyGoldBonus +0.25,craft_wanted_dossier,Wanted Poster / Manacles,/icons/perks/hero/10.png
Hunting,Bounty (Missions),3,hunting.bounty.3,Veteran Bounty,"+1 active bounty slot (stacks), +10% bounty mission XP.",4,hunting.bounty.2,"bountyContractSlots +1, bountyMissionXpBonus +0.10","craft_capture_net, craft_bounty_lockbox",Wanted Poster / Manacles,/icons/perks/hero/11.png
Hunting,Bounty (Missions),4,hunting.bounty.4,Bounty King,"+50% rare contract chance, +25% bounty mission XP. Unlocks villain NPC contracts.",8,hunting.bounty.3,"bountyRareContractBonus +0.50, bountyMissionXpBonus +0.25, villainContractsUnlocked true","craft_villain_trophy, craft_manacles",Wanted Poster / Manacles,/icons/perks/hero/12.png
Hunting,Tracking,1,hunting.tracking.1,Sharp Senses,Enemies appear on minimap within 25m.,1,—,minimapEnemyRange +25,—,Spyglass,/icons/perks/hero/13.png
Hunting,Tracking,2,hunting.tracking.2,Bloodtrail,Wounded beasts leave visible blood trails for 60s.,2,hunting.tracking.1,bloodTrailDuration +60,craft_spyglass,Spyglass,/icons/perks/hero/14.png
Hunting,Tracking,3,hunting.tracking.3,Bird's Eye,+50% spyglass zoom range; spot rare nodes at distance.,4,hunting.tracking.2,"spyglassZoomBonus +0.50, rareNodeMarker true",craft_compass_brass,Spyglass / Brass Compass,/icons/perks/hero/15.png
Hunting,Tracking,4,hunting.tracking.4,Pathfinder,Reveals map fog within 100m as you move; +25% out-of-combat speed.,8,hunting.tracking.3,"fogRevealRange +100, oocSpeedBonus +0.25",craft_pathfinders_cloak,Spyglass / Pathfinder's Cloak,/icons/perks/hero/16.png
Hunting,Trapping,1,hunting.trapping.1,Snare Master,Placed traps trigger 2× more often.,1,—,trapTriggerBonus +1.00,—,Snare Kit,/icons/perks/hero/17.png
Hunting,Trapping,2,hunting.trapping.2,Passive Hunter,Set traps grant +5 Hunting XP every 5 minutes (max 6/h).,2,hunting.trapping.1,passiveTrapXpRate +1,craft_snare_advanced,Snare Kit,/icons/perks/hero/18.png
Hunting,Trapping,3,hunting.trapping.3,Lure Crafter,"bait_worm and bait_meat last 2× longer in traps; unlocks Trapper hire (resets snares & gathers carcasses).",4,hunting.trapping.2,"baitDurationBonus +1.00, allyUnlocked trapper","craft_bait_meat, craft_bait_lure_pheromone, hire_trapper",Snare Kit,/icons/perks/hero/19.png
Hunting,Trapping,4,hunting.trapping.4,Honey Pot,"Unlock honey_pot trap (catches rare beasts overnight), +50% trap rare drop chance.",8,hunting.trapping.3,"honeyPotUnlocked true, trapRareDropBonus +0.50",craft_honey_pot,Snare Kit,/icons/perks/hero/20.png
Hunting,—,M,hunting.master,Apex Predator,"PROFESSION MASTER — +25% all damage, +25% hunt XP, +25% skinning, +1 contract slot, all unlocks active. Requires Fishing 4 + Animals 4 + Bounty 4 + Tracking 4 + Trapping 4.",20,hunting.fishing.4 + hunting.animals.4 + hunting.bounty.4 + hunting.tracking.4 + hunting.trapping.4,"gunsmithDamageBonus +0.25, bladesmithDamageBonus +0.25, bountyXpBonus +0.25, skinningYieldBonus +0.25, bountyContractSlots +1",craft_legendary_trophy,Bow / Sniper Rifle,/icons/perks/hero/21.png
Crafting,Equipment,1,crafting.equipment.1,Apprentice Smith,-10% material cost on craft.,1,—,craftCostReduction +0.10,"craft_pickaxe, craft_hammer_tool, craft_bucket_metal",Carpenter Hammer,/icons/perks/warrior/1.png
Crafting,Equipment,2,crafting.equipment.2,Field Repair,+10% craft quality.,2,crafting.equipment.1,craftQualityBonus +0.10,"craft_repair_kit, craft_whetstone, craft_torch_metal",Carpenter Hammer,/icons/perks/warrior/2.png
Crafting,Equipment,3,crafting.equipment.3,Layered Plate,+10% armour defense.,4,crafting.equipment.2,armourDefenseBonus +0.10,"craft_shield_round, craft_shield_round_2",Carpenter Hammer,/icons/perks/warrior/3.png
Crafting,Equipment,4,crafting.equipment.4,Artificer,"-15% cost, +25% quality on legendary recipes (stacks).",8,crafting.equipment.3,"craftCostReduction +0.15, craftQualityBonus +0.25","craft_workbench, craft_anvil, craft_weapon_stand, craft_workbench_drawers",Carpenter Hammer,/icons/perks/warrior/4.png
Crafting,Bladesmith,1,crafting.bladesmith.1,Sharper Edge,+5% melee weapon damage.,1,—,bladesmithDamageBonus +0.05,"craft_dagger, craft_iron_sword",Smith's Hammer,/icons/perks/warrior/11.png
Crafting,Bladesmith,2,crafting.bladesmith.2,Folded Steel,+10% melee weapon damage (stacks).,2,crafting.bladesmith.1,bladesmithDamageBonus +0.10,"craft_sword_2, craft_dagger_2, craft_axe_small",Smith's Hammer,/icons/perks/warrior/12.png
Crafting,Bladesmith,3,crafting.bladesmith.3,Warden's Blade,+10% craft quality on swords.,4,crafting.bladesmith.2,craftQualityBonus +0.10,"craft_axe, craft_hammer_small, craft_spear",Smith's Hammer,/icons/perks/warrior/13.png
Crafting,Bladesmith,4,crafting.bladesmith.4,Soulforged,"+25% bladed damage, +15% melee crit (stacks).",8,crafting.bladesmith.3,"bladesmithDamageBonus +0.25, bladesmithDamageBonus +0.15","craft_sword_big, craft_axe_double, craft_hammer_double, craft_claymore, craft_scythe",Smith's Hammer,/icons/perks/warrior/14.png
Crafting,Gunsmith,1,crafting.gunsmith.1,True Sights,+5% ranged weapon damage.,1,—,gunsmithDamageBonus +0.05,"craft_bow_wooden, craft_arrow_iron, craft_pistol_1",Gunsmith Calipers,/icons/perks/warrior/21.png
Crafting,Gunsmith,2,crafting.gunsmith.2,Tight Bore,+10% ranged damage (stacks).,2,crafting.gunsmith.1,gunsmithDamageBonus +0.10,"craft_bow_wooden_2, craft_pistol_2, craft_pistol_3, craft_revolver_1, craft_smg_1",Gunsmith Calipers,/icons/perks/warrior/22.png
Crafting,Gunsmith,3,crafting.gunsmith.3,Quick Draw,-10% ranged crafting cost.,4,crafting.gunsmith.2,craftCostReduction +0.10,"craft_smg_2, craft_smg_3, craft_shotgun_1, craft_shotgun_2, craft_bow_evil",Gunsmith Calipers,/icons/perks/warrior/23.png
Crafting,Gunsmith,4,crafting.gunsmith.4,Rift-Hunter Rifle,"+25% ranged damage, +15% boss damage (stacks).",8,crafting.gunsmith.3,"gunsmithDamageBonus +0.25, gunsmithDamageBonus +0.15","craft_assault_rifle_1, craft_assault_rifle_2, craft_assault_rifle_3, craft_shotgun_sawedoff, craft_shotgun_3, craft_bullpup_1, craft_sniper_1, craft_sniper_5, craft_assault_rifle2_4, craft_bullpup_3",Gunsmith Calipers,/icons/perks/warrior/24.png
Crafting,Armour,1,crafting.armour.1,Padded Lining,+5% armour defense.,1,—,armourDefenseBonus +0.05,"craft_armour_peasant_chest, craft_armour_peasant_legs, craft_armour_peasant_feet, craft_armour_peasant_arms",Plate Hammer,/icons/perks/hero/22.png
Crafting,Armour,2,crafting.armour.2,Plate & Mail,+10% defense (stacks).,2,crafting.armour.1,armourDefenseBonus +0.10,"craft_armour_leather_set, craft_helmet_open",Plate Hammer,/icons/perks/hero/23.png
Crafting,Armour,3,crafting.armour.3,Reinforced Joints,+10% damage reduction.,4,crafting.armour.2,damageReductionBonus +0.10,"craft_armour_mail_set, craft_shield_heater",Plate Hammer,/icons/perks/hero/24.png
Crafting,Armour,4,crafting.armour.4,Aegis Plating,"+25% damage reduction, +15% defense (stacks).",8,crafting.armour.3,"damageReductionBonus +0.25, armourDefenseBonus +0.15","craft_armour_plate_set, craft_shield_heater_2, craft_helmet_full, craft_armour_ranger_chest, craft_armour_ranger_legs, craft_armour_ranger_feet, craft_armour_ranger_arms, craft_armour_ranger_head, craft_armour_ranger_shoulders",Plate Hammer,/icons/perks/hero/25.png
Crafting,Tinkering,1,crafting.tinkering.1,Mod Slot,First weapon attachment per gun costs no schematic.,1,—,firstAttachmentFree true,"craft_attach_silencer_1, craft_attach_scope_1",Soldering Iron,/icons/perks/smarts/1.png
Crafting,Tinkering,2,crafting.tinkering.2,Hot Wire,Unlocks mid-tier attachment recipes; +10% gadget effect.,2,crafting.tinkering.1,gadgetEffectBonus +0.10,"craft_attach_silencer_2, craft_attach_scope_2, craft_attach_grip",Soldering Iron,/icons/perks/smarts/2.png
Crafting,Tinkering,3,crafting.tinkering.3,Engineer,Gadget cooldowns -20%; unlock heavy attachments.,4,crafting.tinkering.2,"gadgetCooldownReduction +0.20, gadgetEffectBonus +0.10","craft_attach_bipod, craft_attach_silencer_long, craft_attach_scope_3, craft_attach_tripod",Soldering Iron / Multitool,/icons/perks/smarts/3.png
Crafting,Tinkering,4,crafting.tinkering.4,Master Tinkerer,Gadgets crit for +50% effect; unlock prototype gadgets.,8,crafting.tinkering.3,"gadgetCritChance +0.25, gadgetCritBonus +0.50","craft_drone_recon, craft_emp_grenade, craft_grappling_hook",Soldering Iron / Prototype Rig,/icons/perks/smarts/4.png
Crafting,—,M,crafting.master,Riftforge Artisan,"PROFESSION MASTER — +15% all weapon damage, +25% craft quality, -15% craft cost, all unlocks active. Requires Equipment 4 + Bladesmith 4 + Gunsmith 4 + Armour 4 + Tinkering 4.",20,crafting.equipment.4 + crafting.bladesmith.4 + crafting.gunsmith.4 + crafting.armour.4 + crafting.tinkering.4,"bladesmithDamageBonus +0.15, gunsmithDamageBonus +0.15, armourDefenseBonus +0.15, craftQualityBonus +0.25, craftCostReduction +0.15","craft_shield_celtic_golden, craft_sword_golden, craft_bow_golden, craft_sniper_6, craft_gun_scifi_pistol",Anvil,/icons/perks/warrior/29.png
Township,Leadership,1,township.leadership.1,Fair Hand,+1 NPC recruit cap.,1,—,recruitCapBonus +1,—,Captain's Banner,/icons/perks/hero/26.png
Township,Leadership,2,township.leadership.2,Camp Morale,"+10% camp morale; +1 party Follower slot (hire_mercenary).",2,township.leadership.1,"campMoraleBonus +0.10, followerSlots +1","build_banner, hire_mercenary",Captain's Banner,/icons/perks/hero/27.png
Township,Leadership,3,township.leadership.3,Trusted Captain,+2 NPC recruit cap (stacks).,4,township.leadership.2,recruitCapBonus +2,build_recruit_post,Captain's Banner,/icons/perks/hero/28.png
Township,Leadership,4,township.leadership.4,Warlord,"+5 NPC recruit cap, +20% morale, +2 party Follower slots (stacks).",8,township.leadership.3,"recruitCapBonus +5, campMoraleBonus +0.20, followerSlots +2","build_banner_2, build_war_banner",Captain's Banner / War Banner,/icons/perks/hero/29.png
Township,Buildings & Prosperity,1,township.buildings.1,Frugal Builder,-10% building cost.,1,—,buildCostReduction +0.10,"build_floor_modular, build_wall_modular, build_door_round",Mason's Trowel,/icons/perks/smarts/11.png
Township,Buildings & Prosperity,2,township.buildings.2,Salvage Yard,"+10% morale per building; unlocks Logging Camp (employs Woodcutter NPC, +5 wood/day passive).",2,township.buildings.1,"campMoraleBonus +0.10, harvesterUnlocked woodcutter","build_floor_brick, build_floor_wood_dark, build_window, build_window_shutters, build_doorframe_round, build_logging_camp, hire_woodcutter",Mason's Trowel,/icons/perks/smarts/12.png
Township,Buildings & Prosperity,3,township.buildings.3,Master Mason,"-20% building cost (stacks); unlocks Mining Outpost (employs Miner NPC, +5 ore/day).",4,township.buildings.2,"buildCostReduction +0.20, harvesterUnlocked miner","build_roof_tile, build_overhang_plaster, build_balcony_simple, build_stairs_modular, build_mining_outpost, hire_miner",Mason's Trowel,/icons/perks/smarts/13.png
Township,Buildings & Prosperity,4,township.buildings.4,Boomtown,"-15% craft cost, +30% morale (stacks); unlocks Field (employs Farmer NPC, +5 herb/day).",8,township.buildings.3,"craftCostReduction +0.15, campMoraleBonus +0.30, harvesterUnlocked farmer","build_workbench_drawers, build_armory_chest, build_metal_fence, build_overhang_uneven_brick, build_balcony_cross, build_keep_chimney, build_field, hire_farmer",Mason's Trowel,/icons/perks/smarts/14.png
Township,Trade,1,township.trade.1,Haggler,"+10% gold from sales to NPCs; unlocks Stall Vendor hire (mans market stalls, auto-sells loot).",1,—,"sellGoldBonus +0.10, vendorUnlocked stall","build_market_stall, hire_stall_vendor",Merchant's Coinpurse,/icons/perks/smarts/15.png
Township,Trade,2,township.trade.2,Caravan,"Unlocks build_trade_post (passive 5 gold/day per post when staffed by Caravan Master).",2,township.trade.1,"passiveGoldRate +5, vendorUnlocked caravan_master","build_trade_post, build_caravan_cart, hire_caravan_master",Merchant's Coinpurse,/icons/perks/smarts/16.png
Township,Trade,3,township.trade.3,Black Market,"Unlocks rare/contraband goods at township market stalls; unlocks Fence hire (buys stolen goods +50%).",4,township.trade.2,"blackMarketUnlocked true, vendorUnlocked fence","build_market_complex, craft_smuggler_crate, hire_fence",Merchant's Coinpurse,/icons/perks/smarts/17.png
Township,Trade,4,township.trade.4,Tycoon,"+50% gold from all sources, passive +10 gold/day per trade post; Bazaar slots gain 3 Vendor hire slots.",8,township.trade.3,"sellGoldBonus +0.50, passiveGoldRate +10, vendorUnlocked bazaar_merchant","build_grand_bazaar, hire_bazaar_merchant",Merchant's Coinpurse / Gilded Ledger,/icons/perks/smarts/18.png
Township,Diplomacy,1,township.diplomacy.1,Smooth Talker,Friendly NPCs heal you 1 hp/sec while in camp.,1,—,allyAuraHealRate +1,—,Diplomatic Scroll,/icons/perks/hero/30.png
Township,Diplomacy,2,township.diplomacy.2,Faction Standing,+10% reputation gain with all factions.,2,township.diplomacy.1,reputationGainBonus +0.10,build_meeting_hall,Diplomatic Scroll,/icons/perks/hero/31.png
Township,Diplomacy,3,township.diplomacy.3,Treaty Maker,"Unlocks build_embassy (faction passive bonuses while built); unlocks Diplomat Envoy hire (mans embassy, +1 reputation/day).",4,township.diplomacy.2,"embassyUnlocked true, allyUnlocked diplomat","build_embassy, craft_treaty_seal, hire_diplomat",Diplomatic Scroll / Embassy Banner,/icons/perks/hero/32.png
Township,Diplomacy,4,township.diplomacy.4,Crown Bearer,Friendly factions send a gift caravan weekly.,8,township.diplomacy.3,factionGiftWeekly true,"build_throne, build_diplomat_quarters",Diplomatic Scroll / Crown,/icons/perks/hero/33.png
Township,Defenses,1,township.defenses.1,Watchful,"Unlocks build_watchtower; +25% camp NPC alert range; unlocks Sentry hire (mans watchtower, ranged alert).",1,—,"watchtowerUnlocked true, npcAlertRange +0.25, allyUnlocked sentry","build_watchtower, hire_sentry",Turret Schematic,/icons/perks/warrior/31.png
Township,Defenses,2,township.defenses.2,Sturdy Walls,"Placed walls have +50% HP; unlocks Gate Guard hire pair (patrols gates/palisade).",2,township.defenses.1,"wallHpBonus +0.50, allyUnlocked gate_guard","build_palisade, build_gate_iron, hire_gate_guard",Turret Schematic,/icons/perks/warrior/32.png
Township,Defenses,3,township.defenses.3,Auto-Turret,"Unlocks build_turret_basic (auto-fires at hostiles in range); unlocks Turret Gunner hire (+30% accuracy / +20% rate while assigned).",4,township.defenses.2,"turretBasicUnlocked true, allyUnlocked gunner","build_turret_basic, craft_turret_ammo, hire_gunner",Turret Schematic / Turret Toolkit,/icons/perks/warrior/33.png
Township,Defenses,4,township.defenses.4,Fortress,"+25% all camp building HP, turrets +50% damage; unlocks Captain hire (elite party companion + 3-NPC squad).",8,township.defenses.3,"buildingHpBonus +0.25, turretDamageBonus +0.50, allyUnlocked captain","build_turret_heavy, build_keep_gate, hire_captain",Turret Schematic / Fortress Keystone,/icons/perks/warrior/34.png
Township,—,M,township.master,Lord of the Township,"PROFESSION MASTER — +3 recruits, +25% morale, -25% build cost, all unlocks active. Requires Leadership 4 + Buildings 4 + Trade 4 + Diplomacy 4 + Defenses 4.",20,township.leadership.4 + township.buildings.4 + township.trade.4 + township.diplomacy.4 + township.defenses.4,"recruitCapBonus +3, campMoraleBonus +0.25, buildCostReduction +0.25, sellGoldBonus +0.25","build_command_tent, build_lords_hall",Lord's Banner,/icons/perks/hero/9.png
Survival,Combat Training,1,survival.training.1,Conditioning,+10 max HP.,1,—,maxHpBonus +10,—,Training Sword,/icons/perks/smarts/21.png
Survival,Combat Training,2,survival.training.2,Wind Sprints,+15% stamina regen.,2,survival.training.1,staminaRegenBonus +0.15,—,Training Sword,/icons/perks/smarts/22.png
Survival,Combat Training,3,survival.training.3,Iron Skin,+5% damage reduction.,4,survival.training.2,damageReductionBonus +0.05,—,Training Sword,/icons/perks/smarts/23.png
Survival,Combat Training,4,survival.training.4,Battle-Scarred,"+25 max HP, +15% damage reduction (stacks).",8,survival.training.3,"maxHpBonus +25, damageReductionBonus +0.15",—,Training Sword,/icons/perks/smarts/24.png
Survival,Resolve,1,survival.resolve.1,Second Wind,+15% stamina regen.,1,—,staminaRegenBonus +0.15,—,Heavy Pack,/icons/perks/hero/34.png
Survival,Resolve,2,survival.resolve.2,Set Jaw,+15 max HP.,2,survival.resolve.1,maxHpBonus +15,—,Heavy Pack,/icons/perks/hero/35.png
Survival,Resolve,3,survival.resolve.3,Unyielding,+10% damage reduction.,4,survival.resolve.2,damageReductionBonus +0.10,—,Heavy Pack,/icons/perks/hero/36.png
Survival,Resolve,4,survival.resolve.4,Indomitable,"+30 max HP, +20% damage reduction (stacks).",8,survival.resolve.3,"maxHpBonus +30, damageReductionBonus +0.20",—,Heavy Pack,/icons/perks/hero/37.png
Survival,Endurance,1,survival.endurance.1,Camel,+25% food and water buff duration.,1,—,foodBuffDurationBonus +0.25,craft_waterskin,Waterskin,/icons/perks/smarts/25.png
Survival,Endurance,2,survival.endurance.2,Marathoner,Sprint costs -20% stamina.,2,survival.endurance.1,sprintCostReduction +0.20,—,Waterskin,/icons/perks/smarts/26.png
Survival,Endurance,3,survival.endurance.3,Iron Stomach,Eat raw food without penalty; +10% all food yield consumed.,4,survival.endurance.2,"rawFoodPenaltyImmunity true, foodEffectBonus +0.10",—,Waterskin,/icons/perks/smarts/27.png
Survival,Endurance,4,survival.endurance.4,Eternal Wanderer,"Passive +1 hp/sec out of combat, +25% food duration (stacks).",8,survival.endurance.3,"oocHealRate +1, foodBuffDurationBonus +0.25",craft_camp_kettle,Waterskin / Camp Kettle,/icons/perks/smarts/28.png
Survival,Wilderness,1,survival.wilderness.1,Layered Furs,-50% cold damage in tundra.,1,—,coldResistBonus +0.50,—,Survivor's Cloak,/icons/perks/smarts/29.png
Survival,Wilderness,2,survival.wilderness.2,Sunbleached,-50% heat damage in desert.,2,survival.wilderness.1,heatResistBonus +0.50,—,Survivor's Cloak,/icons/perks/smarts/30.png
Survival,Wilderness,3,survival.wilderness.3,Rad Suit,-50% radiation damage in rift zones.,4,survival.wilderness.2,radResistBonus +0.50,craft_rad_suit,Survivor's Cloak / Rad Suit,/icons/perks/smarts/31.png
Survival,Wilderness,4,survival.wilderness.4,Element-Forged,"+25% damage in any biome you have full resist for, biome resists stack.",8,survival.wilderness.3,"biomeDamageBonus +0.25, allResistsStack true",craft_elementforged_cloak,Survivor's Cloak / Elementforged Cloak,/icons/perks/smarts/32.png
Survival,Veterancy,1,survival.veterancy.1,Bronze Mark,+5% XP from all sources.,1,—,bountyXpBonus +0.05,—,Veteran's Medal,/icons/perks/smarts/33.png
Survival,Veterancy,2,survival.veterancy.2,Silver Mark,+10% XP (stacks).,2,survival.veterancy.1,bountyXpBonus +0.10,—,Veteran's Medal,/icons/perks/smarts/34.png
Survival,Veterancy,3,survival.veterancy.3,Gold Mark,+20% XP (stacks).,4,survival.veterancy.2,bountyXpBonus +0.20,—,Veteran's Medal,/icons/perks/smarts/35.png
Survival,Veterancy,4,survival.veterancy.4,Platinum Mark,"+15% damage reduction, +50 max HP (stacks).",8,survival.veterancy.3,"damageReductionBonus +0.15, maxHpBonus +50",—,Veteran's Medal,/icons/perks/smarts/36.png
Survival,—,M,survival.master,Rift-Mark,"PROFESSION MASTER — +75 max HP, +25% DR, +25% stamina regen, +25% XP, all biome resists max, all unlocks active. Requires Training 4 + Resolve 4 + Endurance 4 + Wilderness 4 + Veterancy 4.",20,survival.training.4 + survival.resolve.4 + survival.endurance.4 + survival.wilderness.4 + survival.veterancy.4,"maxHpBonus +75, damageReductionBonus +0.25, staminaRegenBonus +0.25, bountyXpBonus +0.25, allResistsStack true",craft_riftmark_amulet,Veteran's Crest,/icons/perks/smarts/37.png
Chemistry,Cooking,1,chemistry.growth.1,Hot Plate,+10% cooked food yield.,1,—,cookingYieldBonus +0.10,"cook_meat, cook_fish, cook_berry_jam",Cooking Pan,/icons/perks/maker/41.png
