Activity,Trigger,Profession Awarded,XP Amount,Side-Grant Profession,Side-Grant XP,Modifier (Effect Key),Source File,Notes
Backstab kill,stealth kill from behind (Theft 4+ required),combat,baseHuntXp × 1.5,survival,baseHuntXp × 0.4,backstabDamageBonus,(needs wiring) GameEngine.ts:429-432,1.5× multiplier; counts as kill for hunting side-grant.
Place building,recipe id starts with 'build_',township,12,—,—,—,GameCanvas.tsx:440-441,Any building schematic.
Cook food,cook_* recipe completes,chemistry,10,—,—,cookingYieldBonus,GameCanvas.tsx:445-449,Currently routes cook_meat/cook_fish to chemistry — keep all cook_* on chemistry. boil_water/craft_bandage = medicinal (also chemistry).
Brew potion,brew_* recipe completes,chemistry,10,—,—,potionPotencyBonus,(needs wiring) GameCanvas.tsx:445-449,All brew_* recipes route to chemistry alongside cook_*.
Craft other,any other crafting recipe completes,crafting,10,—,—,—,GameCanvas.tsx:450-451,Weapons / armour / tools / attachments.
Recruit NPC ally,hire_* completes via successful dialog and the NPC settles into a tent in your claimed camp,township,15,—,—,—,(needs wiring) systems/Recruitment.ts,"NO GOLD COST. Recruitment requires: (1) dialog success per the Recruit Method in npc-hires.csv, (2) a placed claim_flag, (3) campfire + storage crate in camp, (4) one personal tent per NPC. First hire of each role grants +50% (×22 instead of 15)."
Recruitment dialog success,charisma/resolve/combat/survival check passes during recruit dialog,township,3,(check stat profession),1,—,(needs wiring) systems/Dialog.ts,Granted whether or not the NPC actually joins (they may decline for other reasons). Side-grants 1 XP to whichever profession governed the check.
Place claim flag (first time per area),claim_flag placed in an unclaimed map sector,township,30,survival,10,claimedSector +1,(needs wiring) systems/ClaimFlag.ts,"Stakes the area for recruitment. Subsequent flags in the same sector grant 0 XP (no farming). Also broadcasts your guild logo to nearby NPCs and to the world map. Will likely trigger a raid timer within 1-3 in-game days."
Survive raid on claimed territory,raid resolved with claim_flag still standing,survival,12,township,6,—,(needs wiring) systems/Raids.ts,Per raid (not per ally — that's the separate Defend ally row). Caps at 1 grant per raid.
Pledge to a faction,faction pledge confirmed at Embassy,township,40,—,—,factionAlignment,(needs wiring) systems/Diplomacy.ts,One-time grant per faction. Pledging unlocks faction contracts and turns the other four hostile.
Faction reputation tier up (positive),reputation crosses an upward threshold (Neutral→Friendly→Honored→Allied→Hero),township,25,—,—,—,(needs wiring) systems/Diplomacy.ts,Grants once per tier per faction. See faction-reputation-tiers.csv for the full 8-tier scale. Maximum 4 positive tier-ups per faction = 100 XP/faction.
Faction reputation tier down (recovery),reputation climbs back across a NEGATIVE threshold (Hated→Hostile→Unfriendly→Neutral),township,15,survival,5,—,(needs wiring) systems/Diplomacy.ts,Reward for digging out of a hostile state. Granted once per recovery; if you tank back into negative the second crossing grants nothing.
Complete faction contract,faction-specific quest accepted at Embassy completes,(faction's signature profession),20,township,5,factionContractCount,(needs wiring) systems/FactionContracts.ts,"Each faction has signature professions per factions.csv (e.g. Keepers route to combat or crafting/armour; Scavengers to crafting/gunsmith). Side-grant always township. Contracts only available at Friendly+ rep."
Defeat hostile-faction NPC in their territory,kill an NPC of a Hostile or Hated faction inside their declared territory,combat,8,township,3,—,(needs wiring) systems/Combat.ts,"Self-defense XP for the inevitable result of pledging — the two natural-enemy factions go Hostile and you'll fight them in their lands. Tagged so we don't double-count with the standard combat-kill XP."
Found a Guild,guild charter signed at Meeting Hall,township,30,—,—,guildId,(needs wiring) systems/Guild.ts,Requires Diplomacy 2 + Meeting Hall built. Guild members share rep gains and a banner.
Settlement tier-up: Camp → Tribe,5+ ally NPCs settled in camp radius,township,50,—,—,settlementTier=tribe,(needs wiring) systems/Settlement.ts,Tribe unlocks shared cooking pot (passive food) and morale aura.
Settlement tier-up: Tribe → Village,10+ ally NPCs settled in camp radius,township,80,survival,20,settlementTier=village,(needs wiring) systems/Settlement.ts,Village unlocks Trade Post payouts and tier-2 building schematics.
Settlement tier-up: Village → Town,20+ ally NPCs settled in camp radius,township,120,survival,30,settlementTier=town,(needs wiring) systems/Settlement.ts,Town unlocks Bazaar slots tier-3 buildings and the Town Banner (faction reputation broadcast).
Defend ally during raid,allied NPC survives a raid in camp radius,survival,4,township,2,—,(needs wiring) systems/Raids.ts,Per ally per raid. Caps at 10 allies/raid to prevent farming.
Diplomatic envoy success,envoy returns from faction with positive outcome,township,20,—,—,—,(needs wiring) systems/Diplomacy.ts,Diplomat Envoy hire required; mission cooldown 1 in-game day.
NPC autonomous gain,any NPC (ally or enemy) triggers a player-equivalent XP event,(NPC's own profession),same as player rate × npcXpRate,—,—,npcXpRate (default 0.5),(needs wiring) systems/NpcSim.ts,"NPCs run the SAME XP table as the player at half rate by default. A Woodcutter chopping a tree gains gathering XP. A raider killing a hire gains combat XP. Each NPC tracks its own profession ranks and unlocks perks the same way the player does — visible on the NPC inspect panel."
NPC profession rank-up bonus,NPC crosses a profession rank threshold,(NPC's own profession),0,—,—,unlocksPerkForNpc,(needs wiring) systems/NpcSim.ts,Mirrors the player rank-up flow. NPC chooses a perk from the same tree the player would; allied NPCs use the perk in support of you raiders use it against you.
SIGNATURE WEAPON RULE,player wields the Signature Item listed in professions.csv,(see below),× 1.25 multiplier,—,—,signatureXpMult,(needs wiring) systems/Equipment.ts → GameEngine.ts gainXp,"Wielding a profession's signature item grants +25% XP for that profession's gain events. Currently scoped to Combat (per-branch weapon class) and Hunting (Bow/Sniper/Skinning Knife/Fishing Rod/Spyglass/Snare Kit). Other professions list signatures (Hatchet/Pickaxe/Ice Pickaxe/Resonator/Scrap Cutter/Hammer/Trowel/Coinpurse/Scroll/Turret Schematic/Pan/Pestle/Detonator/Vial/Tongs/Training Sword/Cloak/Pack/Medal) for flavor only."
