Skill ID,Perk Name,Profession,Branch,Rank,SP Cost,Prerequisite,Effect,Recipes / Items Unlocked,Signature Item
township.trade.1,Haggler,Township,Trade,1,1,Spend 1 SP (no prerequisite — branch entry),"+10% gold from sales to NPCs; unlocks Stall Vendor hire (mans market stalls, auto-sells loot).  [sellGoldBonus +0.10, vendorUnlocked stall]","build_market_stall, hire_stall_vendor",Merchant's Coinpurse
township.trade.2,Caravan,Township,Trade,2,2,Spend 2 SP after: township.trade.1,"Unlocks build_trade_post (passive 5 gold/day per post when staffed by Caravan Master).  [passiveGoldRate +5, vendorUnlocked caravan_master]","build_trade_post, build_caravan_cart, hire_caravan_master",Merchant's Coinpurse
township.trade.3,Black Market,Township,Trade,3,4,Spend 4 SP after: township.trade.2,"Unlocks rare/contraband goods at township market stalls; unlocks Fence hire (buys stolen goods +50%).  [blackMarketUnlocked true, vendorUnlocked fence]","build_market_complex, craft_smuggler_crate, hire_fence",Merchant's Coinpurse
township.trade.4,Tycoon,Township,Trade,4,8,Spend 8 SP after: township.trade.3,"+50% gold from all sources, passive +10 gold/day per trade post; Bazaar slots gain 3 Vendor hire slots.  [sellGoldBonus +0.50, passiveGoldRate +10, vendorUnlocked bazaar_merchant]","build_grand_bazaar, hire_bazaar_merchant",Merchant's Coinpurse / Gilded Ledger
township.diplomacy.1,Smooth Talker,Township,Diplomacy,1,1,Spend 1 SP (no prerequisite — branch entry),Friendly NPCs heal you 1 hp/sec while in camp.  [allyAuraHealRate +1],,Diplomatic Scroll
township.diplomacy.2,Faction Standing,Township,Diplomacy,2,2,Spend 2 SP after: township.diplomacy.1,+10% reputation gain with all factions.  [reputationGainBonus +0.10],build_meeting_hall,Diplomatic Scroll
township.diplomacy.3,Treaty Maker,Township,Diplomacy,3,4,Spend 4 SP after: township.diplomacy.2,"Unlocks build_embassy (faction passive bonuses while built); unlocks Diplomat Envoy hire (mans embassy, +1 reputation/day).  [embassyUnlocked true, allyUnlocked diplomat]","build_embassy, craft_treaty_seal, hire_diplomat",Diplomatic Scroll / Embassy Banner
township.diplomacy.4,Crown Bearer,Township,Diplomacy,4,8,Spend 8 SP after: township.diplomacy.3,Friendly factions send a gift caravan weekly.  [factionGiftWeekly true],"build_throne, build_diplomat_quarters",Diplomatic Scroll / Crown
township.defenses.1,Watchful,Township,Defenses,1,1,Spend 1 SP (no prerequisite — branch entry),"Unlocks build_watchtower; +25% camp NPC alert range; unlocks Sentry hire (mans watchtower, ranged alert).  [watchtowerUnlocked true, npcAlertRange +0.25, allyUnlocked sentry]","build_watchtower, hire_sentry",Turret Schematic
township.defenses.2,Sturdy Walls,Township,Defenses,2,2,Spend 2 SP after: township.defenses.1,"Placed walls have +50% HP; unlocks Gate Guard hire pair (patrols gates/palisade).  [wallHpBonus +0.50, allyUnlocked gate_guard]","build_palisade, build_gate_iron, hire_gate_guard",Turret Schematic
township.defenses.3,Auto-Turret,Township,Defenses,3,4,Spend 4 SP after: township.defenses.2,"Unlocks build_turret_basic (auto-fires at hostiles in range); unlocks Turret Gunner hire (+30% accuracy / +20% rate while assigned).  [turretBasicUnlocked true, allyUnlocked gunner]","build_turret_basic, craft_turret_ammo, hire_gunner",Turret Schematic / Turret Toolkit
township.defenses.4,Fortress,Township,Defenses,4,8,Spend 8 SP after: township.defenses.3,"+25% all camp building HP, turrets +50% damage; unlocks Captain hire (elite party companion + 3-NPC squad).  [buildingHpBonus +0.25, turretDamageBonus +0.50, allyUnlocked captain]","build_turret_heavy, build_keep_gate, hire_captain",Turret Schematic / Fortress Keystone
township.master,Lord of the Township,Township,—,M,20,Spend 20 SP after maxing all 5 branches: township.leadership.4 + township.buildings.4 + township.trade.4 + township.diplomacy.4 + township.defenses.4,"PROFESSION MASTER — +3 recruits, +25% morale, -25% build cost, all unlocks active. Requires Leadership 4 + Buildings 4 + Trade 4 + Diplomacy 4 + Defenses 4.  [recruitCapBonus +3, campMoraleBonus +0.25, buildCostReduction +0.25, sellGoldBonus +0.25]","build_command_tent, build_lords_hall",Lord's Banner
survival.training.1,Conditioning,Survival,Combat Training,1,1,Spend 1 SP (no prerequisite — branch entry),+10 max HP.  [maxHpBonus +10],,Training Sword
survival.training.2,Wind Sprints,Survival,Combat Training,2,2,Spend 2 SP after: survival.training.1,+15% stamina regen.  [staminaRegenBonus +0.15],,Training Sword
survival.training.3,Iron Skin,Survival,Combat Training,3,4,Spend 4 SP after: survival.training.2,+5% damage reduction.  [damageReductionBonus +0.05],,Training Sword
survival.training.4,Battle-Scarred,Survival,Combat Training,4,8,Spend 8 SP after: survival.training.3,"+25 max HP, +15% damage reduction (stacks).  [maxHpBonus +25, damageReductionBonus +0.15]",,Training Sword
survival.resolve.1,Second Wind,Survival,Resolve,1,1,Spend 1 SP (no prerequisite — branch entry),+15% stamina regen.  [staminaRegenBonus +0.15],,Heavy Pack
survival.resolve.2,Set Jaw,Survival,Resolve,2,2,Spend 2 SP after: survival.resolve.1,+15 max HP.  [maxHpBonus +15],,Heavy Pack
survival.resolve.3,Unyielding,Survival,Resolve,3,4,Spend 4 SP after: survival.resolve.2,+10% damage reduction.  [damageReductionBonus +0.10],,Heavy Pack
survival.resolve.4,Indomitable,Survival,Resolve,4,8,Spend 8 SP after: survival.resolve.3,"+30 max HP, +20% damage reduction (stacks).  [maxHpBonus +30, damageReductionBonus +0.20]",,Heavy Pack
survival.endurance.1,Camel,Survival,Endurance,1,1,Spend 1 SP (no prerequisite — branch entry),+25% food and water buff duration.  [foodBuffDurationBonus +0.25],craft_waterskin,Waterskin
survival.endurance.2,Marathoner,Survival,Endurance,2,2,Spend 2 SP after: survival.endurance.1,Sprint costs -20% stamina.  [sprintCostReduction +0.20],,Waterskin
survival.endurance.3,Iron Stomach,Survival,Endurance,3,4,Spend 4 SP after: survival.endurance.2,"Eat raw food without penalty; +10% all food yield consumed.  [rawFoodPenaltyImmunity true, foodEffectBonus +0.10]",,Waterskin
survival.endurance.4,Eternal Wanderer,Survival,Endurance,4,8,Spend 8 SP after: survival.endurance.3,"Passive +1 hp/sec out of combat, +25% food duration (stacks).  [oocHealRate +1, foodBuffDurationBonus +0.25]",craft_camp_kettle,Waterskin / Camp Kettle
survival.wilderness.1,Layered Furs,Survival,Wilderness,1,1,Spend 1 SP (no prerequisite — branch entry),-50% cold damage in tundra.  [coldResistBonus +0.50],,Survivor's Cloak
survival.wilderness.2,Sunbleached,Survival,Wilderness,2,2,Spend 2 SP after: survival.wilderness.1,-50% heat damage in desert.  [heatResistBonus +0.50],,Survivor's Cloak
survival.wilderness.3,Rad Suit,Survival,Wilderness,3,4,Spend 4 SP after: survival.wilderness.2,-50% radiation damage in rift zones.  [radResistBonus +0.50],craft_rad_suit,Survivor's Cloak / Rad Suit
survival.wilderness.4,Element-Forged,Survival,Wilderness,4,8,Spend 8 SP after: survival.wilderness.3,"+25% damage in any biome you have full resist for, biome resists stack.  [biomeDamageBonus +0.25, allResistsStack true]",craft_elementforged_cloak,Survivor's Cloak / Elementforged Cloak
survival.veterancy.1,Bronze Mark,Survival,Veterancy,1,1,Spend 1 SP (no prerequisite — branch entry),+5% XP from all sources.  [bountyXpBonus +0.05],,Veteran's Medal
survival.veterancy.2,Silver Mark,Survival,Veterancy,2,2,Spend 2 SP after: survival.veterancy.1,+10% XP (stacks).  [bountyXpBonus +0.10],,Veteran's Medal
survival.veterancy.3,Gold Mark,Survival,Veterancy,3,4,Spend 4 SP after: survival.veterancy.2,+20% XP (stacks).  [bountyXpBonus +0.20],,Veteran's Medal
survival.veterancy.4,Platinum Mark,Survival,Veterancy,4,8,Spend 8 SP after: survival.veterancy.3,"+15% damage reduction, +50 max HP (stacks).  [damageReductionBonus +0.15, maxHpBonus +50]",,Veteran's Medal
survival.master,Rift-Mark,Survival,—,M,20,Spend 20 SP after maxing all 5 branches: survival.training.4 + survival.resolve.4 + survival.endurance.4 + survival.wilderness.4 + survival.veterancy.4,"PROFESSION MASTER — +75 max HP, +25% DR, +25% stamina regen, +25% XP, all biome resists max, all unlocks active. Requires Training 4 + Resolve 4 + Endurance 4 + Wilderness 4 + Veterancy 4.  [maxHpBonus +75, damageReductionBonus +0.25, staminaRegenBonus +0.25, bountyXpBonus +0.25, allResistsStack true]",craft_riftmark_amulet,Veteran's Crest
chemistry.growth.1,Hot Plate,Chemistry,Cooking,1,1,Spend 1 SP (no prerequisite — branch entry),+10% cooked food yield.  [cookingYieldBonus +0.10],"cook_meat, cook_fish, cook_berry_jam",Cooking Pan
chemistry.growth.2,Hearty Stew,Chemistry,Cooking,2,2,Spend 2 SP after: chemistry.growth.1,+25% food buff duration.  [foodBuffDurationBonus +0.25],"cook_stew, cook_grain_porridge, cook_roast_corn",Cooking Pan
chemistry.growth.3,Camp Chef,Chemistry,Cooking,3,4,Spend 4 SP after: chemistry.growth.2,+20% food yield (stacks).  [cookingYieldBonus +0.20],"cook_roast_meat, cook_fish_filet_grilled, cook_mushroom_skewer",Cooking Pan
