Role,Name,Path,Animated,Spawn Locations,Drops / Loot,Notes
hostile-enemy (sci-fi),Enemy_EyeDrone,public/models/scifi/essentials_kit/FBX/Enemy_EyeDrone.fbx,Yes,sci-fi facilities / Stratocolonies,"scrap (electronic), optic core, energy cell","Pre-rigged. Also at glTF / OBJ / FBX (Unity)."
hostile-enemy (sci-fi),Enemy_QuadShell,public/models/scifi/essentials_kit/FBX/Enemy_QuadShell.fbx,Yes,sci-fi facilities,"scrap (electronic), armour plate, energy cell",Heavier ground unit.
hostile-enemy (sci-fi),Enemy_Trilobite,public/models/scifi/essentials_kit/FBX/Enemy_Trilobite.fbx,Yes,labs / radiation zones,"bio (alien), chitin, energy cell",Low-slung swarm unit.
hostile-enemy (mech),Stan,public/models/enemies/mechs/Textured/FBX/Stan.fbx,Yes,sci-fi battlefield / endgame,"scrap (heavy), armour plate, energy cell, rare alloy","Quaternius Mech — Textured + Flat Colors variants in FBX/glTF/Blends/OBJ."
hostile-enemy (mech),Mike,public/models/enemies/mechs/Textured/FBX/Mike.fbx,Yes,sci-fi battlefield / endgame,"scrap (heavy), armour plate, energy cell, rare alloy",Same.
hostile-enemy (mech),Leela,public/models/enemies/mechs/Textured/FBX/Leela.fbx,Yes,sci-fi battlefield / endgame,"scrap (heavy), armour plate, energy cell, rare alloy",Same.
hostile-enemy (mech),George,public/models/enemies/mechs/Textured/FBX/George.fbx,Yes,sci-fi battlefield / endgame,"scrap (heavy), armour plate, energy cell, rare alloy",Same.
hostile-enemy (other),Clown,public/models/enemies/clown/clown.fbx,?,city / cult,quest-specific,Standalone single-file enemy.
hostile-enemy (other),Doctor,public/models/enemies/doctor/doctor.fbx,?,labs / city,quest-specific,Standalone single-file enemy.
hostile-enemy (other),Masked,public/models/enemies/masked/,?,city / cult,quest-specific,
hostile-enemy (other),Miner,public/models/enemies/miner/,?,mines / dungeons,quest-specific,
hostile-enemy (other),Scarecrow,public/models/enemies/scarecrow/,?,farms,quest-specific,
hostile-enemy (other),SeaExplorer,public/models/enemies/seaexplorer/,?,coastal / underwater,quest-specific,
NPC,city_dwellers_1,public/models/npcs/medieval/fbx/people_unity/city_dwellers_1.fbx,?,city,—,"Use the people_unity export for three.js (FBXLoader)."
NPC,city_dwellers_2,public/models/npcs/medieval/fbx/people_unity/city_dwellers_2.fbx,?,city,—,
NPC,king,public/models/npcs/medieval/fbx/people_unity/king.fbx,?,castle / quest,—,Royal NPC.
NPC,queen,public/models/npcs/medieval/fbx/people_unity/queen.fbx,?,castle / quest,—,Royal NPC.
NPC,peasant_1..6,public/models/npcs/medieval/fbx/people_unity/peasant_{1..6}.fbx,?,village / farms,—,6 peasant variants.
NPC,rich_citizens_1..4,public/models/npcs/medieval/fbx/people_unity/rich_citizens_{1..4}.fbx,?,city,—,4 wealthy variants.
NPC,rich_citizzens_1..4,public/models/npcs/medieval/fbx/people_unity/rich_citizzens_{1..4}.fbx,?,city,—,Source-pack typo preserved — 4 alt-export variants.
NPC,(shared texture),public/models/npcs/medieval/texture/people_texture_map.png,—,—,—,Atlas texture shared by all medieval NPCs.
